State,murdPerPop,rapesPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,ViolentCrimesPerPop
Ohio,12.42,28.97,78.63,326.93,670.42,4684.65,107.6,4.14,446.95
Maine,0.0,17.69,30.95,106.13,499.69,4855.4,190.15,30.95,154.77
Ohio,4.88,39.04,53.67,24.4,531.86,2927.69,117.11,58.55,121.99
Massachusetts,0.0,7.31,32.88,32.88,365.34,1063.13,204.59,0.0,73.07
Connecticut,0.0,0.0,41.66,23.8,464.18,1761.49,249.94,0.0,65.46
Missouri,0.0,43.89,307.25,184.35,1049.03,3068.08,1040.25,17.56,535.49
California,0.0,0.0,11.31,241.32,923.8,1779.72,143.28,22.62,252.63
South Carolina,15.01,63.38,423.65,1254.27,1404.39,6881.83,600.45,43.37,1756.32
Washington,4.34,26.01,8.67,173.43,333.85,1235.69,56.36,8.67,212.45
North Dakota,0.0,6.15,0.0,30.74,104.51,2256.24,30.74,0.0,36.89
Michigan,0.0,6.15,152.45,601.78,1331.94,5143.22,361.07,40.12,36.89
California,0.0,7.85,39.23,321.68,568.83,1090.58,364.83,7.85,368.76
Texas,8.67,117.11,268.91,1045.28,2194.66,5495.32,459.75,95.42,1439.97
California,3.6,14.4,82.77,172.74,500.23,3166.95,622.59,32.39,273.51
Wisconsin,0.0,0.0,48.06,27.46,583.59,2533.47,178.51,0.0,75.52
Connecticut,3.58,7.16,25.05,35.78,243.31,1252.33,207.53,0.0,71.56
New Jersey,6.47,0.0,161.71,142.3,918.5,3117.72,394.57,51.75,310.48
Texas,0.0,9.54,9.54,133.52,343.35,2241.3,76.3,123.99,152.6
Pennsylvania,23.93,123.32,992.12,966.35,1919.82,4384.48,749.15,40.49,2105.73
Utah,0.0,21.44,28.59,318.03,468.11,2930.14,142.93,0.0,368.05
New York,24.33,94.43,927.67,887.34,2431.86,4069.85,1766.67,138.93,1933.77
Georgia,26.59,66.47,571.68,698.58,3332.17,5991.13,634.53,2.42,1363.32
Texas,8.36,45.96,121.17,305.02,1395.56,3121.21,576.61,121.17,480.51
Florida,1.16,13.91,25.5,263.14,1248.48,3000.06,272.42,8.11,303.72
New Jersey,0.0,4.4,35.21,167.26,655.84,2544.13,708.66,4.4,206.88
Michigan,58.06,4.4,1362.78,1303.42,2315.46,4293.41,2813.71,122.23,206.88
Florida,5.43,85.08,798.32,957.62,2889.16,7293.5,590.14,43.45,1846.45
Minnesota,6.74,85.08,117.97,315.14,829.13,3156.44,365.7,28.65,1846.45
Alabama,7.11,58.68,204.48,986.82,1484.68,5271.95,497.86,28.65,1257.09
California,3.51,28.07,195.32,549.71,1316.96,4887.72,720.47,15.2,776.61
Indiana,0.0,8.77,65.75,245.47,346.29,3476.09,596.15,17.53,319.99
Florida,11.58,54.05,368.69,965.16,2582.76,7522.44,961.3,25.09,1399.48
Massachusetts,0.0,0.0,22.87,419.37,587.11,1052.23,259.25,22.87,442.24
Texas,0.0,0.0,9.15,164.62,649.35,2249.86,100.6,0.0,173.77
Texas,9.88,69.17,123.52,563.27,1966.5,3720.54,153.17,9.88,765.85
Texas,0.0,7.2,64.78,563.27,547.04,3116.68,201.54,14.4,765.85
Arizona,2.52,10.1,30.29,68.16,643.73,2198.77,252.44,20.2,111.07
South Carolina,7.11,110.26,458.83,878.53,3542.59,12274.59,810.96,0.0,1454.74
California,15.85,75.29,1182.19,1268.05,1487.31,3271.82,2013.02,106.99,2541.38
Georgia,23.0,62.02,579.07,323.33,1998.54,5084.84,789.52,29.96,987.42
New Jersey,7.08,7.08,28.33,49.58,205.41,1763.71,92.08,14.17,92.08
Michigan,0.0,7.08,229.63,376.6,1377.79,4160.93,1037.94,45.93,92.08
Minnesota,0.0,7.08,14.47,57.86,524.88,2764.92,165.32,26.86,92.08
North Carolina,9.96,103.59,685.29,778.92,2633.57,6442.49,603.61,15.94,1577.75
Florida,11.97,79.79,538.56,893.61,2960.07,9398.81,1380.3,11.97,1523.92
California,4.8,33.62,96.05,485.04,1680.83,1267.83,475.44,0.0,619.51
Connecticut,1.69,0.0,30.34,20.23,318.56,1759.68,237.66,10.11,52.25
California,22.62,44.43,614.62,608.76,2149.82,4967.47,2097.94,43.64,1290.43
Florida,11.06,62.2,505.92,944.11,3034.16,8024.27,1953.2,20.73,1523.3
Pennsylvania,2.5,32.46,107.37,146.07,608.01,2334.64,300.88,31.21,288.4
Pennsylvania,0.0,0.0,18.31,54.92,164.77,201.39,54.92,0.0,73.23
Missouri,11.56,57.78,127.12,328.21,1458.45,4336.07,385.99,53.16,524.67
Nevada,6.32,71.14,159.67,254.53,1029.17,4439.17,167.58,53.16,491.66
Tennessee,5.04,5.04,15.11,55.42,292.21,1914.45,166.26,5.04,80.61
New Jersey,9.86,95.34,1308.52,1180.3,2926.09,3409.39,2945.82,78.91,2594.03
California,11.91,29.23,637.66,418.97,1156.23,1368.42,1706.2,30.31,1097.77
Texas,28.89,110.14,597.41,779.67,2282.1,5715.58,1304.96,91.02,1516.12
Louisiana,3.35,3.35,160.78,783.81,1219.27,6149.93,750.32,0.0,951.3
Alabama,0.0,13.58,61.12,298.83,1086.66,3585.98,237.71,0.0,373.54
South Dakota,0.0,29.08,21.81,138.12,661.53,2689.74,145.39,21.81,189.01
Florida,10.26,20.53,270.95,441.32,1397.87,3101.59,886.75,26.68,743.07
New Jersey,0.0,3.81,102.99,122.06,938.32,3364.23,186.9,30.51,228.86
Massachusetts,0.0,0.0,0.0,7.79,31.14,77.86,7.79,0.0,7.79
Oklahoma,14.64,51.25,139.11,790.75,1486.31,4209.99,505.2,51.25,995.75
California,4.22,35.2,59.14,288.64,1492.47,2823.03,492.8,56.32,387.2
California,0.0,39.57,100.45,188.73,1281.5,2359.06,420.07,9.13,328.75
Alabama,0.0,24.68,139.85,1040.64,1168.15,3611.39,180.98,12.34,1205.17
New Jersey,0.0,18.28,182.78,308.12,1535.37,3579.91,1128.03,13.06,509.18
Michigan,3.16,18.28,22.12,385.59,609.99,4500.63,170.67,25.28,509.18
Ohio,0.0,30.35,60.7,49.67,364.22,2149.44,44.15,22.07,140.72
Kentucky,9.62,57.74,182.84,628.73,1360.11,3320.07,259.83,54.53,878.94
California,0.0,24.9,88.09,181.93,907.73,2060.59,365.77,13.41,294.92
Wyoming,0.0,14.77,14.77,125.51,487.26,2901.44,95.98,36.91,155.04
Michigan,0.0,14.77,17.87,160.86,786.42,1671.13,545.13,35.75,155.04
Massachusetts,0.0,26.1,19.58,156.63,345.89,841.87,130.52,143.58,202.31
Iowa,7.87,7.87,47.22,657.09,960.06,4103.88,232.15,143.58,720.05
New Jersey,0.0,36.29,31.75,117.94,394.63,988.84,145.15,31.75,185.97
Pennsylvania,13.37,0.0,40.1,80.21,655.04,3535.86,140.36,66.84,133.68
Florida,0.0,8.3,24.91,157.74,415.11,1519.3,49.81,8.3,190.95
Ohio,0.0,6.56,22.95,32.78,314.72,816.31,196.7,3.28,62.29
Florida,8.98,233.58,646.84,1760.85,4438.06,11122.09,583.95,89.84,2650.26
Wisconsin,0.0,22.54,368.14,15.03,796.39,6003.01,691.21,15.03,405.71
Ohio,6.36,35.0,111.36,111.36,827.21,2946.14,314.98,0.0,264.07
Washington,0.0,84.41,80.19,320.77,1337.95,6639.09,346.09,29.54,485.38
New Jersey,0.0,14.18,28.35,61.43,359.12,1464.82,122.86,14.18,103.96
California,19.15,19.15,574.53,1027.77,1666.13,2125.76,1008.62,57.45,1640.6
Wisconsin,0.0,21.73,65.18,130.36,570.31,2579.98,434.52,5.43,217.26
Ohio,0.0,67.74,50.81,160.89,457.28,3641.29,177.83,16.94,279.45
North Carolina,11.22,38.14,132.35,385.84,1188.93,3896.54,224.33,24.68,567.54
Nevada,0.93,70.02,101.77,97.1,696.5,1689.9,345.45,30.81,269.82
Minnesota,0.0,70.02,24.1,96.41,592.91,1884.79,106.05,24.1,269.82
California,10.15,35.52,350.15,484.62,1773.57,2412.97,941.34,30.45,880.44
Maryland,6.83,20.5,403.12,273.3,1072.7,3737.36,710.58,30.45,703.74
Indiana,17.92,98.09,432.92,544.22,2457.93,5494.04,745.11,58.48,1093.15
Florida,7.82,86.07,242.57,759.0,2120.5,5524.26,657.28,54.77,1095.46
Florida,0.0,0.0,75.19,103.38,460.53,3186.09,244.36,0.0,178.57
Michigan,0.0,0.0,114.25,252.02,446.92,3793.81,803.12,47.04,178.57
Connecticut,0.0,0.0,123.17,15.4,823.71,5204.0,438.8,30.79,138.57
New Jersey,0.0,24.25,48.5,109.12,860.81,1733.75,218.23,24.25,181.86
California,11.91,30.97,424.12,913.76,2396.98,1296.18,1046.0,42.89,1380.76
North Carolina,31.59,41.57,505.51,907.93,2304.74,5969.7,445.65,53.21,1486.61
New Jersey,16.15,96.87,1508.01,802.44,2518.73,3327.63,3912.1,53.28,2423.47
New Jersey,5.96,11.93,241.53,512.88,1323.95,3909.23,2006.8,2.98,772.3
Texas,10.61,5.3,114.91,627.57,1474.36,5877.99,680.61,17.68,758.39
Virginia,0.0,36.12,90.3,108.36,529.74,4322.18,258.85,6.02,234.77
New York,0.0,17.88,8.94,89.39,652.54,3968.89,116.21,6.02,116.21
Virginia,0.0,68.01,194.3,437.18,932.65,4697.25,361.89,36.43,699.49
Indiana,13.78,45.92,119.39,45.92,877.07,6456.35,491.34,9.18,225.01
Massachusetts,7.26,36.3,21.78,435.6,348.48,1575.43,58.08,7.26,500.94
Missouri,0.0,9.95,29.84,67.14,440.16,1981.95,74.6,14.92,106.93
New Jersey,0.0,13.66,65.59,204.96,568.41,1948.46,295.14,16.4,284.21
New York,0.0,14.04,42.13,610.87,758.32,3279.03,7.02,16.4,667.04
North Carolina,0.0,5.93,112.72,516.14,1773.85,5855.48,296.63,11.87,634.79
Texas,0.0,0.0,0.0,516.14,1340.83,5855.48,7.21,0.0,634.79
Massachusetts,0.0,9.52,4.76,38.08,299.84,894.77,185.62,0.0,52.35
Wisconsin,5.41,5.41,10.81,243.34,740.82,4693.67,86.52,10.81,264.97
Washington,3.01,45.12,114.31,177.48,1461.96,5107.84,354.96,10.81,339.92
New Jersey,0.0,8.1,16.2,56.72,56.72,1288.28,153.95,32.41,81.02
Arizona,0.0,7.01,49.06,84.11,2768.63,1184.55,294.39,0.0,140.18
California,3.8,55.04,138.56,998.37,1210.95,4466.08,599.78,28.47,1195.76
Alabama,7.09,0.0,35.45,21.27,177.25,170.16,99.26,7.09,63.81
Massachusetts,0.0,25.38,68.89,170.41,641.75,1189.22,634.49,7.25,264.67
New Jersey,0.0,16.58,16.58,66.31,356.43,1715.85,49.73,16.58,99.47
New Jersey,0.0,10.32,154.79,278.62,1253.81,3699.5,763.63,20.64,443.73
Missouri,4.79,47.91,23.96,124.57,455.18,2453.16,162.91,14.37,201.24
Missouri,5.96,53.62,71.5,77.45,613.68,2073.4,119.16,11.92,208.53
Indiana,7.66,30.65,99.61,30.65,679.37,3547.53,224.75,176.23,168.57
Indiana,3.58,7.17,114.71,301.11,419.4,2806.75,1028.78,7.17,426.57
Pennsylvania,0.0,0.0,198.12,156.84,511.8,2988.28,883.28,41.27,354.96
Missouri,0.0,0.0,192.82,146.91,808.01,3103.48,505.0,0.0,339.73
Connecticut,0.0,0.0,41.57,5.94,486.91,2137.64,77.19,5.94,47.5
California,17.47,48.89,1144.95,598.75,1510.49,4680.3,1497.35,66.09,1810.07
California,22.29,40.12,309.8,314.26,1163.44,2839.5,1252.59,49.03,686.47
Oregon,2.12,38.24,59.49,121.1,730.86,3943.23,161.47,55.24,220.96
California,18.33,79.42,788.08,1203.49,3164.52,6157.98,3292.81,42.76,2089.32
Michigan,0.0,79.42,38.67,87.02,638.11,3258.24,77.35,29.01,2089.32
New Jersey,3.19,19.14,92.5,379.55,822.89,1556.47,315.76,35.08,494.37
Connecticut,1.76,8.78,163.36,158.09,1039.91,2944.07,526.98,15.81,332.0
California,10.29,56.01,818.44,767.0,1727.17,7065.29,2004.94,156.6,1651.73
Connecticut,0.0,0.0,9.07,0.0,213.19,1056.88,36.29,18.14,9.07
Maine,0.0,58.73,44.05,58.73,1008.22,4282.5,156.62,146.83,161.51
Wisconsin,0.0,0.0,42.12,126.36,303.26,2299.72,210.6,8.42,168.48
Florida,5.24,28.84,60.3,508.61,1247.94,3303.36,284.46,10.49,602.99
Oregon,1.25,65.0,137.51,138.76,920.07,2900.22,848.81,36.25,342.53
Pennsylvania,6.45,54.34,392.35,317.75,920.08,3003.4,347.22,58.02,770.88
Utah,1.1,39.77,19.89,97.22,561.24,3191.77,171.24,11.05,157.99
Maine,0.0,18.71,128.29,227.18,1427.24,4786.85,138.98,53.45,374.18
Michigan,17.24,18.71,433.0,936.5,1651.02,4610.43,561.48,41.26,374.18
Ohio,0.0,138.7,0.0,329.4,936.2,3484.74,277.39,78.02,468.1
Michigan,0.0,138.7,40.57,76.63,486.84,2497.3,171.29,13.52,468.1
New York,0.0,41.11,198.71,113.06,1486.91,5666.71,113.06,10.28,352.88
North Carolina,5.16,43.02,173.81,311.47,1338.82,3944.18,254.68,13.77,533.46
Ohio,0.0,26.28,8.76,35.04,262.79,2172.39,96.36,0.0,70.08
Florida,0.0,13.29,124.48,167.99,786.78,3858.98,589.79,13.29,305.77
Ohio,0.0,34.3,48.59,40.02,483.05,2529.58,65.74,48.59,122.91
Massachusetts,0.0,12.85,12.85,545.96,969.88,2607.75,128.46,0.0,571.65
New Jersey,0.0,0.0,28.46,18.97,493.31,1906.84,483.83,37.95,47.43
Wisconsin,0.0,0.0,0.0,9.24,161.66,974.55,78.52,9.24,9.24
Maryland,0.0,20.77,62.31,1038.55,922.23,3880.03,211.86,0.0,1121.64
Minnesota,0.0,11.08,59.08,125.55,398.8,2326.35,73.85,3.69,195.71
Missouri,23.43,39.05,437.33,351.43,1616.56,2545.88,944.94,31.24,851.23
New York,0.0,42.78,94.11,196.77,740.04,3888.44,243.83,31.24,333.66
Colorado,14.63,77.69,368.3,577.65,1804.51,3530.34,1494.14,86.98,1038.27
Texas,0.0,19.2,67.22,412.91,873.82,1478.78,307.28,9.6,499.33
Massachusetts,9.42,0.0,9.42,292.01,367.37,941.97,9.42,0.0,310.85
Oklahoma,0.0,56.0,42.0,233.35,998.74,2522.52,364.03,18.67,331.36
California,1.26,32.88,302.28,263.07,972.59,4145.85,605.82,58.18,599.49
Wisconsin,0.0,26.77,0.0,234.21,408.19,4871.52,80.3,6.69,260.97
Connecticut,2.42,12.1,31.45,41.13,541.93,2020.13,300.0,31.45,87.1
Ohio,4.87,19.48,58.43,394.43,769.38,3462.21,282.43,21.91,477.21
California,4.77,19.07,128.74,138.27,462.5,1759.4,314.69,14.3,290.85
Louisiana,16.44,38.35,136.96,882.05,1019.01,4656.77,392.63,32.87,1073.8
Minnesota,0.0,38.35,36.6,124.45,1266.47,5673.5,468.52,21.96,1073.8
Pennsylvania,19.03,77.83,472.19,306.14,1525.53,4815.28,541.37,51.89,875.19
Louisiana,16.47,41.17,226.41,605.13,1289.84,4023.22,430.86,19.21,889.17
Massachusetts,0.0,0.0,8.0,343.81,199.89,559.69,15.99,0.0,351.8
Pennsylvania,0.0,28.22,0.0,508.01,366.89,1679.25,105.84,21.17,536.23
California,3.93,7.86,188.58,198.4,942.88,2854.17,644.3,41.25,398.76
Massachusetts,0.0,11.32,56.61,132.09,264.18,932.18,181.15,0.0,200.02
North Carolina,20.24,48.06,470.48,910.61,3409.72,6816.92,672.84,37.94,1449.39
Illinois,0.0,48.06,22.81,13.03,172.71,1368.61,110.79,3.26,1449.39
California,32.78,78.18,363.15,476.63,1742.62,4214.06,1177.72,25.22,950.75
Maryland,6.39,63.88,187.37,981.58,943.26,3379.11,319.39,40.46,1239.22
Washington,0.0,14.09,28.18,61.06,422.71,1470.1,89.24,32.88,103.33
Ohio,5.27,52.71,195.03,73.8,395.34,5413.53,142.32,47.44,326.81
Utah,2.71,24.4,13.55,48.79,355.1,3149.82,81.32,2.71,89.45
New York,0.0,4.0,111.92,71.95,343.77,1810.77,431.71,2.71,187.87
Minnesota,0.0,4.0,28.39,82.02,1037.89,5558.53,340.7,9.46,187.87
Virginia,12.16,56.93,39.24,737.3,1161.22,4016.47,378.05,34.82,845.63
Alabama,26.29,6.57,72.29,236.59,368.03,506.05,26.29,0.0,341.75
New Jersey,0.0,8.61,25.84,68.9,301.43,1881.76,193.77,4.31,103.35
California,21.21,33.94,237.6,602.49,1722.6,3020.92,844.33,377.61,895.24
California,0.0,22.19,105.4,1519.94,1198.2,4398.96,404.95,0.0,1647.53
Kentucky,15.53,0.0,0.0,46.6,225.24,419.42,31.07,0.0,62.14
North Carolina,7.49,59.96,209.85,659.52,2128.46,5516.0,337.26,104.92,936.82
New Mexico,23.98,39.97,15.99,215.83,1558.75,1822.54,87.93,0.0,295.76
Michigan,12.98,39.97,216.25,640.11,1397.0,4960.86,1829.51,47.58,295.76
California,0.0,29.45,77.32,154.63,1152.39,2227.46,298.22,22.09,261.4
New Jersey,9.52,14.28,23.8,66.63,418.83,1489.7,52.35,14.28,114.23
Texas,6.7,73.71,20.1,582.95,1206.11,2988.47,308.23,167.52,683.46
California,3.54,22.4,366.59,152.06,1053.81,2027.47,941.83,38.9,544.59
Indiana,2.61,36.6,54.89,1186.74,488.81,3677.85,303.22,91.49,1280.84
Maryland,11.29,73.4,567.46,776.38,1558.4,4401.34,403.72,211.74,1428.53
Wisconsin,0.0,58.06,14.51,65.32,283.04,2213.51,72.57,21.77,137.89
South Carolina,16.62,24.93,299.15,988.86,1288.02,4113.35,274.22,0.0,1329.57
New Jersey,0.0,5.29,74.04,37.02,587.02,2321.65,692.79,0.0,116.35
Rhode Island,3.5,19.83,40.83,359.35,603.19,2851.44,742.03,56.0,423.52
Massachusetts,9.55,0.0,0.0,200.63,525.46,1136.91,57.32,0.0,210.18
New Jersey,0.0,24.24,39.67,88.16,469.44,2613.89,222.6,15.43,152.07
Arkansas,5.3,87.51,82.21,515.77,1276.83,5245.22,518.42,30.5,690.79
Massachusetts,17.8,87.16,741.04,1122.9,1449.39,4501.24,2166.64,30.5,1968.89
Wisconsin,0.0,24.55,39.28,58.91,711.87,3294.22,122.74,88.37,122.74
Connecticut,0.0,14.32,3.58,35.8,329.35,1521.44,53.7,3.58,53.7
Utah,0.0,64.75,129.5,299.47,1473.09,7381.63,412.79,40.47,493.73
Indiana,0.0,31.69,15.84,768.45,560.89,2847.23,253.51,7.92,815.98
California,3.02,15.12,116.41,276.67,787.69,4671.7,527.64,31.75,411.23
Texas,0.0,25.27,3.61,276.67,537.93,1794.29,137.19,10.83,411.23
Wisconsin,1.02,50.47,161.1,109.1,818.74,3806.15,465.45,28.55,321.68
Texas,8.85,17.7,17.7,1256.64,1398.23,3053.1,238.94,8.85,1300.88
Michigan,12.29,17.7,164.72,309.77,698.22,3483.71,813.77,34.42,1300.88
New Hampshire,0.0,35.61,8.9,35.61,587.55,2341.32,106.83,35.61,80.12
Michigan,16.85,35.61,463.39,1133.2,1714.55,3509.14,589.77,92.68,80.12
Illinois,0.0,35.61,196.35,370.88,712.68,2523.45,1025.38,0.0,80.12
Massachusetts,0.0,5.74,63.12,352.89,562.33,2191.94,766.03,14.35,421.75
Ohio,0.0,8.29,24.87,33.16,514.05,2893.62,116.08,0.0,66.33
Georgia,34.88,117.73,880.79,841.55,2520.28,8480.86,3130.72,0.0,1874.95
New Jersey,15.91,39.31,821.72,434.26,1732.35,3797.88,2016.86,21.53,1311.2
Tennessee,0.0,40.88,110.96,140.16,642.41,2260.12,140.16,29.2,292.0
Tennessee,1.07,92.99,119.71,917.09,935.26,2728.82,150.71,0.0,1130.86
Minnesota,12.62,92.99,12.62,56.79,523.73,2088.59,208.23,12.62,1130.86
New Jersey,16.55,56.11,783.41,715.07,2345.21,2934.38,1311.44,81.29,1571.14
Delaware,0.0,123.33,267.21,496.75,859.88,6118.53,260.36,37.68,887.29
Iowa,0.0,9.39,4.69,51.63,384.89,2229.52,46.94,37.68,65.71
New Jersey,8.66,25.97,51.95,121.21,744.59,1956.71,129.87,8.66,207.79
California,0.0,5.71,34.28,11.43,742.77,1411.27,40.0,11.43,51.42
Alabama,19.31,19.31,9.65,193.05,907.34,3581.08,164.09,9.65,241.31
California,13.43,75.77,415.32,828.71,1546.16,1906.81,1389.82,40.28,1333.23
Washington,0.0,84.5,84.5,775.85,1344.29,9486.86,752.8,38.41,944.85
Utah,0.0,28.93,14.47,65.09,455.66,3131.78,86.79,7.23,108.49
Michigan,0.0,28.93,105.32,505.56,990.05,3739.01,468.69,26.33,108.49
Georgia,25.61,25.61,162.17,1510.75,3687.27,8415.84,529.19,34.14,1724.14
Wisconsin,0.0,24.45,30.56,6.11,207.81,2249.25,55.01,61.12,61.12
South Carolina,0.0,15.59,54.58,109.15,522.38,1910.18,109.15,0.0,179.32
South Dakota,0.0,78.1,7.1,113.6,951.37,3081.29,134.9,28.4,198.79
Minnesota,0.0,78.1,14.94,72.21,537.82,2377.87,114.54,42.33,198.79
Oregon,5.57,66.79,166.97,83.49,1263.43,5771.69,328.38,83.49,322.81
Missouri,0.0,8.88,62.16,53.28,301.93,5328.12,168.72,35.52,124.32
New Jersey,0.0,8.49,67.91,8.49,543.25,2096.6,492.32,8.49,84.88
Oregon,15.47,54.14,23.2,77.34,719.26,2583.14,154.68,23.2,170.15
Wisconsin,0.0,0.0,16.66,58.3,466.43,2115.61,74.96,0.0,74.96
Washington,2.34,37.37,86.42,96.93,748.6,4370.17,325.84,47.88,223.06
Wisconsin,0.0,0.0,0.0,103.33,223.89,5485.23,232.5,25.83,103.33
Oregon,4.81,52.95,115.53,72.21,789.49,2719.88,645.07,24.07,245.51
South Carolina,0.0,44.87,26.92,287.18,1067.94,3257.65,224.36,0.0,358.97
Massachusetts,0.0,8.97,2.99,493.14,248.06,1285.15,200.25,2.99,505.1
Maryland,4.79,62.32,215.73,268.47,484.2,3648.31,958.82,2.99,551.32
California,13.21,29.71,412.68,541.43,2099.7,3420.27,1224.83,112.25,997.03
New Jersey,0.0,9.52,95.17,190.35,513.94,1399.07,295.04,9.52,295.04
Virginia,2.98,20.83,50.59,77.38,494.03,3612.99,130.95,26.78,151.78
Connecticut,0.0,6.15,40.0,18.46,476.91,3012.22,846.13,0.0,64.61
Louisiana,32.31,77.28,814.75,2054.34,3293.5,7927.45,1749.14,68.99,2978.69
Illinois,0.0,77.28,26.11,152.31,574.41,3024.37,230.64,13.05,2978.69
South Dakota,0.0,49.3,21.91,87.64,520.38,3357.8,125.99,10.96,158.85
Tennessee,7.02,49.15,154.47,1179.61,856.62,5582.08,154.47,0.0,1390.25
Michigan,0.0,49.15,13.44,107.53,246.43,2921.28,116.49,8.96,1390.25
Ohio,4.32,51.82,17.27,60.46,427.52,2465.78,73.41,30.23,133.87
Rhode Island,26.48,52.97,158.91,1244.79,1416.94,2105.54,1516.26,0.0,1483.15
California,11.79,47.15,82.51,583.49,860.49,3618.79,719.04,17.68,724.94
Arkansas,13.85,69.26,429.43,360.17,3349.59,7081.51,637.23,41.56,872.72
New Jersey,0.0,15.26,45.77,239.02,818.76,2064.69,986.57,81.37,300.04
Texas,23.7,64.32,165.88,490.86,819.23,2880.84,226.81,3.39,744.75
Texas,17.29,0.0,60.51,190.16,648.28,3379.72,242.03,25.93,267.96
Minnesota,0.0,0.0,24.38,146.29,560.79,2462.61,154.42,16.25,267.96
New Mexico,13.22,62.77,99.11,1143.12,2104.53,5223.34,185.01,9.91,1318.22
California,0.0,0.0,125.22,73.66,743.96,1112.26,110.49,29.46,198.88
Maine,0.0,12.83,34.21,25.66,496.11,2365.07,119.75,12.83,72.71
Virginia,4.09,8.18,36.79,53.15,347.49,2481.5,94.03,36.79,102.2
Iowa,0.0,24.08,8.03,56.19,634.18,3475.96,136.47,36.79,88.3
California,40.67,61.46,1201.21,775.5,1410.91,2034.56,2069.81,54.23,2078.85
Indiana,6.95,6.95,20.84,27.79,1347.97,4280.16,152.86,41.69,62.53
Ohio,0.0,4.64,60.38,362.25,594.46,3250.98,385.47,0.0,427.27
California,0.0,16.02,228.33,104.15,853.23,1622.34,969.4,188.27,348.5
North Carolina,19.48,77.9,393.41,845.25,3061.58,7011.26,416.78,81.8,1336.03
Wisconsin,1.93,59.88,44.43,329.35,622.01,3252.97,230.84,8.69,435.6
Washington,0.0,7.29,14.58,174.93,670.55,3943.15,189.5,7.29,196.79
Oklahoma,14.32,89.88,303.06,897.52,1907.98,3391.21,1179.1,66.02,1304.78
New Jersey,0.0,16.31,89.68,207.9,758.22,1634.67,232.36,6.11,313.89
Massachusetts,2.91,26.22,163.15,1485.8,973.05,2059.72,1220.68,0.0,1678.08
Massachusetts,0.0,11.19,0.0,139.93,319.04,934.74,100.75,0.0,151.13
Florida,0.0,7.48,19.93,156.98,448.51,1951.01,151.99,2.49,184.39
Virginia,0.0,16.65,55.5,55.5,233.1,3085.8,116.55,11.1,127.65
Wyoming,0.0,21.14,15.86,338.3,380.59,4461.36,142.72,95.15,375.3
New Hampshire,5.09,33.62,142.65,41.77,1301.14,3602.83,456.47,28.53,223.14
Pennsylvania,0.0,8.74,23.29,26.21,163.06,856.07,218.39,5.82,58.24
Maryland,0.0,88.53,118.05,826.32,1047.66,3961.93,228.71,29.51,1032.91
Massachusetts,0.0,0.0,0.0,566.68,528.9,1372.62,270.75,0.0,566.68
Missouri,11.44,97.27,108.71,240.3,2328.64,5978.94,343.29,108.71,457.72
Massachusetts,0.0,92.17,9.22,543.78,350.23,617.51,36.87,0.0,645.16
Maryland,20.53,27.37,129.99,307.88,1046.8,5110.84,253.15,88.94,485.77
Massachusetts,0.0,0.0,8.05,201.17,297.74,925.4,104.61,8.05,209.22
Ohio,0.0,18.73,149.83,112.37,739.77,9888.57,383.93,9.36,280.93
North Carolina,0.0,11.48,80.38,189.46,941.55,3444.71,206.68,45.93,281.32
California,0.0,14.27,0.0,85.63,642.21,963.32,85.63,14.27,99.9
Pennsylvania,6.27,25.07,150.44,134.77,1375.92,4629.22,206.86,43.88,316.55
Virginia,0.0,8.47,8.47,338.95,161.0,1271.08,42.37,16.95,355.9
Wisconsin,0.0,4.97,0.0,24.84,278.18,884.21,49.67,4.97,29.8
Colorado,0.0,0.0,20.93,265.16,774.54,3147.02,334.94,83.73,286.09
Texas,8.04,0.0,4.02,32.16,767.84,1419.1,40.2,8.04,44.22
Michigan,0.0,0.0,56.67,5.67,119.01,1666.19,175.69,0.0,44.22
California,27.66,56.02,688.14,855.5,1578.22,2573.43,1272.54,269.03,1627.33
Wisconsin,3.0,23.99,9.0,74.98,611.84,4072.94,272.93,18.0,110.97
New Mexico,18.64,82.84,64.2,650.33,1692.11,4753.23,182.26,49.71,816.02
Michigan,0.0,82.84,8.39,125.82,637.48,1501.43,142.59,25.16,816.02
Massachusetts,0.0,0.0,52.69,86.22,718.49,1096.9,426.31,0.0,138.91
Oregon,0.0,35.55,26.66,115.52,897.54,4674.31,355.46,8.89,177.73
North Carolina,14.28,14.28,221.33,335.57,1235.18,5062.12,271.31,0.0,585.46
Illinois,0.0,14.28,28.8,129.59,480.94,2802.1,259.19,48.96,585.46
Arkansas,37.61,118.9,628.25,2470.95,3205.38,7911.69,1150.86,96.23,3255.71
Georgia,15.98,26.63,218.39,330.24,2375.63,5182.7,383.51,53.27,591.24
Colorado,12.29,33.8,67.59,463.93,1376.43,6541.11,273.44,58.38,577.61
Texas,0.0,49.28,70.4,168.97,591.38,2224.73,147.85,7.04,288.65
New Mexico,24.58,118.01,236.01,1229.23,1470.15,9794.47,653.95,59.0,1607.83
New York,4.97,64.56,342.68,324.47,1768.04,4853.82,816.14,59.0,736.68
New Jersey,6.47,49.58,271.59,254.35,1558.42,3610.46,448.34,84.06,581.98
